iter	RMSE
0	4.665287247
1	4.657826487
2	4.65082132
3	4.644611919
4	4.637003172
5	4.630413811
6	4.623807985
7	4.617633354
8	4.610749698
9	4.603892449
10	4.597178266
11	4.591123028
12	4.584766569
13	4.579307364
14	4.57181951
15	4.56602153
16	4.561063053
17	4.556829602
18	4.549313499
19	4.544063166
20	4.538776135
21	4.533944577
22	4.529341624
23	4.523107318
24	4.517801498
25	4.51273013
26	4.506595097
27	4.50118103
28	4.49586038
29	4.489451974
30	4.484643936
31	4.478830184
32	4.474047083
33	4.467940671
34	4.463101303
35	4.458713859
36	4.4534422
37	4.447554384
38	4.441724771
39	4.437944641
40	4.432357268
41	4.427918592
42	4.423687306
43	4.417648858
44	4.413345287
45	4.408243749
46	4.402564907
47	4.397525922
48	4.392612551
49	4.387694634
50	4.384055357
51	4.380051528
52	4.374997482
53	4.370783177
54	4.366257245
55	4.362440541
56	4.358152533
57	4.354248845
58	4.350348041
59	4.346664827
60	4.343587996
61	4.338929972
62	4.332835952
63	4.32959695
64	4.324874088
65	4.322363326
66	4.318897304
67	4.31552075
68	4.313611136
69	4.310419281
70	4.306459029
71	4.301987427
72	4.29663274
73	4.293024665
74	4.290277811
75	4.286419145
76	4.282165639
77	4.278249557
78	4.27501098
79	4.272096973
80	4.268156279
81	4.265369862
82	4.260898258
83	4.256904378
84	4.253094335
85	4.250354311
86	4.245863655
87	4.241777498
88	4.238438723
89	4.235913528
90	4.233776242
91	4.229059495
92	4.224672603
93	4.222642994
94	4.220176559
95	4.217746718
96	4.214668454
97	4.210234383
98	4.205597801
99	4.201864719
100	4.198338827
101	4.194737714
102	4.191639414
103	4.189133179
104	4.187376649
105	4.185475157
106	4.182282266
107	4.180983219
108	4.178451282
109	4.174877479
110	4.171795413
111	4.169810579
112	4.166192407
113	4.16533861
114	4.163537771
115	4.160989207
116	4.157026442
117	4.153862431
118	4.14958892
119	4.147663662
120	4.144777223
121	4.142322331
122	4.139351194
123	4.136211162
124	4.133054421
125	4.131007036
126	4.129721348
127	4.12841211
128	4.125456693
129	4.122843382
130	4.120435249
131	4.116720452
132	4.114392076
133	4.111444679
134	4.109156672
135	4.106466552
136	4.10414137
137	4.101978882
138	4.099737256
139	4.095719048
140	4.092788312
141	4.089322416
142	4.08670722
143	4.083919677
144	4.080733448
145	4.078247612
146	4.076091914
147	4.073742383
148	4.070526701
149	4.067479632
150	4.065811955
151	4.063263131
152	4.061889905
153	4.058604808
154	4.055164158
155	4.053085464
156	4.050270276
157	4.047974094
158	4.04697093
159	4.044656524
160	4.044322248
161	4.042564039
162	4.040656839
163	4.038224467
164	4.0354667
165	4.032971024
166	4.031423169
167	4.028213594
168	4.02569516
169	4.023198075
170	4.021340696
171	4.017898537
172	4.015010564
173	4.01187973
174	4.010504448
175	4.008614018
176	4.005669045
177	4.004589723
178	4.002442419
179	4.000415104
180	3.99837199
181	3.996459764
182	3.994932651
183	3.991925638
184	3.989380121
185	3.986034126
186	3.9843678
187	3.982202741
188	3.98027365
189	3.977816806
190	3.975826725
191	3.974392627
192	3.970849079
193	3.968433335
194	3.966929573
195	3.965174968
196	3.963075712
197	3.961565185
198	3.959267746
199	3.957083444
200	3.954294433
201	3.952025907
202	3.950003564
203	3.947341994
204	3.946111403
205	3.942974463
206	3.941627945
207	3.939867248
208	3.938371854
209	3.936753471
210	3.934385309
211	3.932421738
212	3.929573308
213	3.927763596
214	3.926633158
215	3.924516339
216	3.922959636
217	3.920494594
218	3.919876543
219	3.917756893
220	3.915940848
221	3.915436511
222	3.913248905
223	3.91092977
224	3.908334489
225	3.905405949
226	3.902932461
227	3.901611547
228	3.899102373
229	3.897452642
230	3.895084623
231	3.893267787
232	3.89135654
233	3.888664228
234	3.887061714
235	3.884619053
236	3.883258732
237	3.881073592
238	3.880625096
239	3.878650414
240	3.876495466
241	3.873013297
242	3.871289616
243	3.869873642
244	3.868347983
245	3.867665301
246	3.865238553
247	3.863600964
248	3.862599567
249	3.86078221
250	3.859156708
251	3.857852707
252	3.856546345
253	3.854594294
254	3.853028156
255	3.850857853
256	3.848329033
257	3.846757456
258	3.844670689
259	3.842905512
260	3.840972879
261	3.839671885
262	3.837761045
263	3.836071858
264	3.83410174
265	3.832090415
266	3.831264003
267	3.829550425
268	3.827326628
269	3.825606286
270	3.822379903
271	3.821142291
272	3.818304736
273	3.817754442
274	3.815899844
275	3.814243217
276	3.811187177
277	3.809659251
278	3.807831905
279	3.807107759
280	3.80587925
281	3.804109462
282	3.802918925
283	3.801933902
284	3.801135214
285	3.800300967
286	3.799510213
287	3.797768683
288	3.795637635
289	3.793925942
290	3.793667404
291	3.792387491
292	3.791069673
293	3.789451391
294	3.788372575
295	3.78833066
296	3.787238343
297	3.785206504
298	3.783463944
299	3.781855455
300	3.780259821
301	3.778789772
302	3.77678693
303	3.775180482
304	3.774384967
305	3.772901316
306	3.770662547
307	3.769180315
308	3.765945865
309	3.764001889
310	3.762813394
311	3.760939044
312	3.758577804
313	3.75767831
314	3.756615957
315	3.755180031
316	3.754479725
317	3.753175289
318	3.75201987
319	3.751304806
320	3.751043378
321	3.749569549
322	3.747849294
323	3.746765359
324	3.745384764
325	3.743753795
326	3.741731081
327	3.739611583
328	3.738027426
329	3.736036492
330	3.734247412
331	3.732810646
332	3.730319022
333	3.728383814
334	3.728082593
335	3.727303884
336	3.72605716
337	3.724601594
338	3.722223828
339	3.721156059
340	3.718932221
341	3.717138247
342	3.716601481
343	3.715274082
344	3.713381899
345	3.712324512
346	3.710152991
347	3.70868793
348	3.706524689
349	3.704957213
350	3.704430497
351	3.702500398
352	3.699769427
353	3.699571157
354	3.698439836
355	3.697182195
356	3.695882787
357	3.694482554
358	3.692791898
359	3.690396371
360	3.687787506
361	3.686504205
362	3.68448615
363	3.683604768
364	3.682921855
365	3.681459912
366	3.680825407
367	3.679215707
368	3.677754366
369	3.676561708
370	3.675572666
371	3.6742987
372	3.672493785
373	3.670862323
374	3.670595723
375	3.669678768
376	3.669555467
377	3.668525295
378	3.667628471
379	3.66658758
380	3.665553584
381	3.664662869
382	3.662832836
383	3.662030302
384	3.661330157
385	3.660596643
386	3.659671181
387	3.657719529
388	3.656568131
389	3.6554665
390	3.653543331
391	3.651573441
392	3.649996654
393	3.649405537
394	3.64810936
395	3.646970745
396	3.646007757
397	3.644741384
398	3.643396431
399	3.641816661
400	3.64018818
401	3.63908181
402	3.638070764
403	3.637533758
404	3.636500596
405	3.635009687
406	3.634601692
407	3.63335516
408	3.631976051
409	3.630585244
410	3.629633892
411	3.628668804
412	3.626492385
413	3.624926798
414	3.623423437
415	3.622037242
416	3.620541118
417	3.619658455
418	3.618305703
419	3.617109105
420	3.615942139
421	3.614832093
422	3.613794234
423	3.612695452
424	3.612151245
425	3.610505944
426	3.609807205
427	3.607954292
428	3.606056524
429	3.605051077
430	3.60415796
431	3.603369511
432	3.602838938
433	3.601538803
434	3.600686863
435	3.599809137
436	3.598257579
437	3.597538385
438	3.595693669
439	3.594936681
440	3.59430562
441	3.592265007
442	3.591526908
443	3.590750661
444	3.589380828
445	3.588521662
446	3.587057338
447	3.584828145
448	3.583768161
449	3.582993673
450	3.582071949
451	3.581125851
452	3.579145312
