iter	Passed	Remaining
0	1	659
1	2	522
2	2	383
3	2	356
4	3	334
5	4	335
6	4	327
7	5	322
8	5	321
9	6	320
10	7	314
11	7	310
12	8	306
13	10	348
14	10	342
15	11	342
16	12	352
17	12	341
18	13	335
19	13	328
20	14	322
21	14	319
22	15	322
23	16	318
24	16	317
25	17	313
26	17	310
27	18	309
28	18	305
29	19	303
30	19	301
31	20	299
32	21	297
33	21	294
34	22	292
35	22	291
36	23	289
37	23	289
38	24	287
39	24	286
40	25	285
41	26	284
42	36	387
43	37	384
44	37	379
45	39	386
46	39	382
47	40	377
48	40	372
49	40	368
50	41	362
51	41	358
52	41	354
53	42	350
54	42	346
55	43	342
56	43	339
57	44	335
58	44	332
59	45	330
60	45	325
61	47	335
62	47	331
63	48	328
64	48	327
65	49	322
66	50	324
67	50	321
68	50	317
69	51	314
70	51	311
71	52	309
72	52	306
73	52	304
74	53	301
75	53	299
76	55	303
77	56	303
78	56	301
79	56	298
80	58	302
81	59	302
82	59	300
83	60	298
84	60	296
85	63	307
86	64	305
87	64	303
88	65	300
89	65	300
90	66	298
91	66	296
92	67	295
93	68	293
94	68	292
95	69	294
96	70	292
97	70	290
98	71	288
99	71	287
100	72	285
101	72	284
102	73	282
103	78	298
104	78	295
105	78	292
106	79	291
107	79	288
108	79	286
109	80	284
110	80	282
111	81	281
112	81	279
113	81	276
114	82	275
115	82	273
116	83	271
117	83	271
118	84	269
119	84	268
120	85	267
121	85	265
122	86	266
123	87	264
124	90	270
125	90	268
126	90	266
127	90	264
128	93	269
129	94	267
130	94	266
131	94	264
132	95	263
133	95	261
134	96	259
135	96	258
136	96	257
137	97	256
138	98	254
139	98	253
140	99	252
141	99	250
142	99	249
143	100	247
144	100	246
145	101	245
146	101	243
147	101	242
148	102	241
149	102	239
150	103	238
151	103	237
152	103	235
153	104	234
154	104	233
155	105	231
156	105	230
157	105	229
158	106	227
159	106	226
160	106	224
161	107	223
162	107	222
163	107	221
164	109	221
165	109	220
166	110	219
167	110	218
168	111	217
169	111	216
170	111	215
171	112	214
172	112	213
173	113	211
174	113	210
175	113	209
176	114	208
177	114	207
178	115	206
179	115	205
180	115	204
181	116	203
182	116	202
183	117	201
184	117	200
185	118	199
186	119	199
187	119	198
188	119	197
189	120	196
190	121	196
191	122	195
192	122	194
193	123	194
194	123	193
195	123	192
196	124	191
197	124	190
198	125	189
199	125	188
200	125	187
201	126	186
202	126	185
203	127	184
204	127	183
205	128	182
206	128	181
207	128	180
208	129	179
209	129	178
210	129	177
211	130	177
212	130	176
213	131	176
214	132	175
215	132	174
216	133	173
217	133	173
218	134	171
219	145	184
220	145	183
221	145	182
222	146	181
223	146	180
224	146	179
225	147	178
226	147	177
227	148	176
228	148	175
229	149	175
230	149	174
231	149	173
232	150	172
233	150	171
234	151	170
235	151	169
236	152	169
237	152	168
238	153	167
239	153	166
240	154	165
241	154	164
242	155	164
243	155	163
244	166	172
245	166	171
246	166	170
247	167	170
248	167	169
249	168	168
250	168	167
251	169	166
252	169	165
253	169	164
254	170	163
255	170	162
256	171	162
257	171	161
258	172	160
259	172	159
260	173	159
261	174	158
262	174	157
263	175	156
264	175	156
265	176	155
266	176	154
267	177	153
268	178	153
269	179	152
270	179	152
271	180	151
272	180	150
273	181	149
274	181	148
275	182	147
276	182	147
277	183	146
278	183	145
279	184	144
280	184	143
281	185	143
282	185	142
283	186	141
284	186	140
285	187	140
286	187	139
287	188	138
288	188	137
289	189	137
290	189	136
291	190	135
292	190	134
293	191	134
294	191	133
295	192	132
296	192	131
297	193	131
298	193	130
299	194	129
300	194	128
301	195	127
302	195	127
303	196	126
304	196	125
305	197	125
306	197	124
307	198	123
308	199	123
309	199	122
310	200	121
311	201	121
312	201	120
313	202	119
314	202	119
315	203	118
316	204	117
317	204	117
318	205	116
319	205	115
320	205	114
321	206	114
322	206	113
323	207	112
324	208	112
325	212	113
326	213	112
327	213	111
328	214	111
329	214	110
330	214	109
331	215	109
332	215	108
333	216	107
334	216	106
335	216	105
336	217	105
337	217	104
338	218	103
339	218	102
340	218	102
341	219	101
342	219	100
343	220	99
344	220	99
345	220	98
346	221	97
347	221	96
348	222	96
349	222	95
350	223	94
351	223	94
352	224	93
353	225	92
354	225	92
355	226	91
356	226	90
357	227	90
358	227	89
359	228	88
360	228	88
361	229	87
362	230	86
363	231	86
364	231	85
365	232	85
366	232	84
367	233	83
368	234	83
369	237	83
370	238	83
371	239	82
372	240	81
373	240	81
374	240	80
375	241	79
376	241	78
377	241	78
378	242	77
379	242	76
380	243	76
381	243	75
382	244	74
383	245	74
384	245	73
385	245	72
386	246	72
387	247	71
388	247	70
389	248	70
390	248	69
391	249	68
392	249	68
393	250	67
394	250	66
395	251	66
396	251	65
397	252	64
398	253	64
399	253	63
400	254	62
401	254	62
402	255	61
403	255	60
404	256	60
405	256	59
406	256	58
407	257	57
408	257	57
409	258	56
410	258	55
411	259	55
412	259	54
413	260	54
414	260	53
415	261	52
416	262	52
417	262	51
418	263	50
419	263	50
420	264	49
421	264	48
422	265	48
423	265	47
424	266	47
425	266	46
426	267	45
427	267	45
428	268	44
429	268	43
430	269	43
431	270	42
432	270	41
433	271	41
434	271	40
435	271	39
436	272	39
437	273	38
438	273	38
439	274	37
440	274	36
441	275	36
442	275	35
443	276	34
444	276	34
445	277	33
446	277	32
447	277	32
448	278	31
449	278	30
450	279	30
451	279	29
452	280	29
453	280	28
454	281	27
455	281	27
456	282	26
457	282	25
458	283	25
459	283	24
460	284	24
461	284	23
462	285	22
463	285	22
464	286	21
465	286	20
466	287	20
467	287	19
468	288	19
469	288	18
470	289	17
471	289	17
472	290	16
473	290	15
474	291	15
475	291	14
476	292	14
477	292	13
478	293	12
479	293	12
480	294	11
481	294	11
482	295	10
483	296	9
484	296	9
485	297	8
486	297	7
487	298	7
488	298	6
489	299	6
490	299	5
491	300	4
492	300	4
493	301	3
494	301	3
495	302	2
496	302	1
497	303	1
498	303	0
499	304	0
